Продукт,белки,жиры,углеводы,ккал,группа,цвет
Гречневая каша,4.5,1.6,27.4,137,КАШИ,#FF9900
Овсяная каша,3.2,1.8,15.4,93,КАШИ,#FF9900
Перловая каша,3.2,0.5,22.7,102,КАШИ,#FF9900
Пшенная каша,3,0.8,17.2,92,КАШИ,#FF9900
Рисовая каша,1.5,0.2,17.3,79,КАШИ,#FF9900
Ячневая каша,1.4,0.3,18.7,84,КАШИ,#FF9900
Майонез 67%,3.3,67,2.4,624,МАСЛО,#CCCC00
Масло льняное,0,99.8,0,898,МАСЛО,#CCCC00
Масло оливковое,0,99.8,0,898,МАСЛО,#CCCC00
Масло подсолнечное,0,99.9,0,899,МАСЛО,#CCCC00
Масло сливочное 82.5%,0.5,82.5,1,747,МАСЛО,#CCCC00
Масло топленое,0.4,98.1,0.5,885,МАСЛО,#CCCC00
Варенье,0.4,0.2,74.5,286,СЛАДОСТИ,#663300
Вафли,8.2,19.8,53.1,425,СЛАДОСТИ,#663300
Гематоген,6.2,2.8,75.5,352,СЛАДОСТИ,#663300
Зефир,0.7,0,77.3,295,СЛАДОСТИ,#663300
Карамель,0,0.2,77.3,291,СЛАДОСТИ,#663300
Конфеты шоколадные,3.9,39.7,54.6,576,СЛАДОСТИ,#663300
Мармелад,0,0.2,77.1,289,СЛАДОСТИ,#663300
Мёд,0.6,0,80.5,312,СЛАДОСТИ,#663300
Мороженое,3.6,10,19.5,182,СЛАДОСТИ,#663300
Пастила,0.6,0,80.1,301,СЛАДОСТИ,#663300
Печенье овсяное,6.5,14.1,71.4,430,СЛАДОСТИ,#663300
Пряники,4.4,2.9,77.1,333,СЛАДОСТИ,#663300
Сахар,0.2,0,99.6,377,СЛАДОСТИ,#663300
Халва подсолнечная,11.4,29.3,54.6,519,СЛАДОСТИ,#663300
Шоколад темный,5.2,35.6,52.4,546,СЛАДОСТИ,#663300
Шоколад молочный,6.7,35.6,52.4,552,СЛАДОСТИ,#663300
Абрикосы,0.7,0,10.1,44,ФРУКТЫ И ЯГОДЫ,#990066
Айва,0.6,0,8.7,37,ФРУКТЫ И ЯГОДЫ,#990066
Алыча,0.3,0,7.6,35,ФРУКТЫ И ЯГОДЫ,#990066
Ананас,0.3,0,11.9,49,ФРУКТЫ И ЯГОДЫ,#990066
Йогурт 3.2%,5,3.2,8.9,87,МОЛОЧНЫЕ ПРОДУКТЫ,#C0C0C0
Кефир 2.5%,3,2.5,4.0,51,МОЛОЧНЫЕ ПРОДУКТЫ,#C0C0C0
Молоко 3.2%,2.8,3.2,4.6,58,МОЛОЧНЫЕ ПРОДУКТЫ,#C0C0C0
Молоко сухое цельное,25.2,25,39.6,477,МОЛОЧНЫЕ ПРОДУКТЫ,#C0C0C0
Ряженка 2.5%,2.9,2.5,4.1,53,МОЛОЧНЫЕ ПРОДУКТЫ,#C0C0C0
Сметана 15%,3,15,2.9,163,МОЛОЧНЫЕ ПРОДУКТЫ,#C0C0C0
Сырки из творожной массы,7.3,23,27.6,344,МОЛОЧНЫЕ ПРОДУКТЫ,#C0C0C0
Сыр сулугуни,20,24.2,0,293,МОЛОЧНЫЕ ПРОДУКТЫ,#C0C0C0
Творог полужирный,16.5,9,1.9,156,МОЛОЧНЫЕ ПРОДУКТЫ,#C0C0C0
Баранина,16.2,15.3,0,201,МЯСО. ПТИЦА,#CC3300
Говядина,18.7,12.6,0,191,МЯСО. ПТИЦА,#CC3300
Говяжья печень,17.6,3.2,0,100,МЯСО. ПТИЦА,#CC3300
Свинина нежирная,16.3,27.9,0,318,МЯСО. ПТИЦА,#CC3300
Индейка,21.1,12.3,0.6,192,МЯСО. ПТИЦА,#CC3300
Куры,20.4,8.6,0.8,161,МЯСО. ПТИЦА,#CC3300
Колбаса вареная Докторская,13.4,22.9,0,257,МЯСО. ПТИЦА,#CC3300
Сардельки Говяжьи,11.1,18.2,1.6,215,МЯСО. ПТИЦА,#CC3300
Сосиски Говяжьи,10.3,20.3,0.9,229,МЯСО. ПТИЦА,#CC3300
Сосиски Куриные,10.6,22.1,3.3,242,МЯСО. ПТИЦА,#CC3300
Баклажаны,0.6,0.1,7.5,22,ОВОЩИ,#339900
Бобы,6.1,0.1,8.1,59,ОВОЩИ,#339900
Брюква,1.2,0.1,8.4,38,ОВОЩИ,#339900
Горошек зеленый,5.4,0.2,13.6,75,ОВОЩИ,#339900
Кабачки,0.8,0.3,5.9,30,ОВОЩИ,#339900
Капуста белокочанная,1.9,0,5.7,31,ОВОЩИ,#339900
Капуста цветная,2.7,0,5.2,30,ОВОЩИ,#339900
Картофель вареный,2,0.3,16.5,80,ОВОЩИ,#339900
Картофель жареный,2.6,9.7,23.5,198,ОВОЩИ,#339900
Лук зеленый (перо),1.4,0,4.2,21,ОВОЩИ,#339900
Лук порей,3.2,0,7.1,38,ОВОЩИ,#339900
Лук репчатый,1.6,0,9.3,41,ОВОЩИ,#339900
Морковь,1.3,0.1,6.3,29,ОВОЩИ,#339900
Огурцы грунтовые,0.7,0,3.1,15,ОВОЩИ,#339900
Оливки,0.6,10.2,6.7,111,ОВОЩИ,#339900
Перец красный сладкий,1.2,0,5.5,26,ОВОЩИ,#339900
Петрушка (зелень),3.8,0,8,45,ОВОЩИ,#339900
Петрушка (корень),1.6,0,11.2,48,ОВОЩИ,#339900
Редис,1.5,0,4.2,22,ОВОЩИ,#339900
Редька,1.7,0,7.1,33,ОВОЩИ,#339900
Репа,1.6,0,5.8,27,ОВОЩИ,#339900
Салат,1.6,0,2.1,15,ОВОЩИ,#339900
Свекла,1.7,0,10.5,46,ОВОЩИ,#339900
Томаты (грунтовые),0.7,0,4.1,19,ОВОЩИ,#339900
Фасоль,4.4,0,4.4,36,ОВОЩИ,#339900
Хрен,2.6,0,16.1,70,ОВОЩИ,#339900
Чеснок,6.6,0,21.1,103,ОВОЩИ,#339900
Шпинат,2.5,0,2.6,22,ОВОЩИ,#339900
Щавель,1.6,0,5.5,29,ОВОЩИ,#339900
Арахис,26.2,45.3,9.9,555,ОРЕХИ. СУХОФРУКТЫ,#666633
Грецкий орех,13.5,61.5,10.6,662,ОРЕХИ. СУХОФРУКТЫ,#666633
Изюм кишмиш,2.5,0,71.4,285,ОРЕХИ. СУХОФРУКТЫ,#666633
Кешью,25.8,54.3,13.3,647,ОРЕХИ. СУХОФРУКТЫ,#666633
Курага,5.7,0,65.3,270,ОРЕХИ. СУХОФРУКТЫ,#666633
Миндаль,18.3,57.9,13.4,643,ОРЕХИ. СУХОФРУКТЫ,#666633
Семя подсолнечника,20.9,52.5,5.4,582,ОРЕХИ. СУХОФРУКТЫ,#666633
Финики,2.5,0.4,69.6,277,ОРЕХИ. СУХОФРУКТЫ,#666633
Фундук,16.3,66.7,9.8,701,ОРЕХИ. СУХОФРУКТЫ,#666633
Чернослив,2.7,0,65.3,262,ОРЕХИ. СУХОФРУКТЫ,#666633
Яблоки сушенные,3.1,0,68.3,275,ОРЕХИ. СУХОФРУКТЫ,#666633
Кета,22.1,5.8,0,138,РЫБА И МОРЕПРОДУКТЫ,#003399
Корюшка,15.3,3.3,0,93,РЫБА И МОРЕПРОДУКТЫ,#003399
Крабовое мясо,16,0.9,0,67,РЫБА И МОРЕПРОДУКТЫ,#003399
Крабовые палочки,17.9,2.1,0,73,РЫБА И МОРЕПРОДУКТЫ,#003399
Креветка,18,0.9,0,85,РЫБА И МОРЕПРОДУКТЫ,#003399
Лещ,17.2,4.2,0,109,РЫБА И МОРЕПРОДУКТЫ,#003399
Лосось,19.2,13.8,0,200,РЫБА И МОРЕПРОДУКТЫ,#003399
Мидии отварные,9.7,1.6,0,53,РЫБА И МОРЕПРОДУКТЫ,#003399
Минтай,15.7,0.6,0,67,РЫБА И МОРЕПРОДУКТЫ,#003399
Мойва,13.1,11.7,0,159,РЫБА И МОРЕПРОДУКТЫ,#003399
Навага,16.71,1.3,0,78,РЫБА И МОРЕПРОДУКТЫ,#003399
Окунь морской,17.4,5.5,0,123,РЫБА И МОРЕПРОДУКТЫ,#003399
Палтус,18.5,3.2,0,106,РЫБА И МОРЕПРОДУКТЫ,#003399
Сазан,18.1,5.2,0,119,РЫБА И МОРЕПРОДУКТЫ,#003399
Сельдь,17.3,19.9,0,248,РЫБА И МОРЕПРОДУКТЫ,#003399
Семга,20.9,15.3,0,222,РЫБА И МОРЕПРОДУКТЫ,#003399
Скумбрия,18,9.5,0,158,РЫБА И МОРЕПРОДУКТЫ,#003399
Ставрида,18,5.3,0,119,РЫБА И МОРЕПРОДУКТЫ,#003399
Стерлядь,17.3,6.3,0,126,РЫБА И МОРЕПРОДУКТЫ,#003399
Судак,19,0.7,0,81,РЫБА И МОРЕПРОДУКТЫ,#003399
Треска,17.7,0.5,0,76,РЫБА И МОРЕПРОДУКТЫ,#003399
Тунец,21.7,1.3,0,95,РЫБА И МОРЕПРОДУКТЫ,#003399
Щука,18.2,0.8,0,83,РЫБА И МОРЕПРОДУКТЫ,#003399
Горбуша,21.2,7.1,0,151,РЫБА И МОРЕПРОДУКТЫ,#003399
Кальмар,18.2,0.2,0,77,РЫБА И МОРЕПРОДУКТЫ,#003399
Камбала,16,2.5,0,86,РЫБА И МОРЕПРОДУКТЫ,#003399
Карась,17.5,1.6,0,84,РЫБА И МОРЕПРОДУКТЫ,#003399
